PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Ben Bentil,PF,9.70%,9.50,10.00,6' 7.25'',6' 8.25'',8' 9'',229.2,7' 1.5''
Georges Niang,PF,10.05%,9.25,9.25,6' 6.75'',6' 8.5'',8' 7'',230.8,6' 10''
Jakob Poeltl,C,5.80%,9.25,10.25,7' 0.25'',7' 1'',9' 3.5'',239.0,7' 2.75''
Zhou Qi,PF-C,4.85%,9.25,9.50,7' 1.25'',7' 2.25'',9' 4.5'',218.2,7' 7.75''
Pascal Siakam,PF,5.20%,9.25,10.00,6' 8.25'',6' 9.5'',8' 11.5'',226.6,7' 3.25''
Wade Baldwin IV,PG,5.20%,9.00,9.75,6' 2.5'',6' 4'',8' 4'',201.8,6' 11.25''
Joel Bolomboy,PF,5.15%,9.00,10.25,6' 7.5'',6' 9'',8' 7.5'',224.4,7' 1.75''
Malcolm Brogdon,SG,5.40%,9.00,10.25,6' 3.75'',6' 5.5'',8' 2'',223.0,6' 10.5''
Marquese Chriss,PF,8.50%,9.00,9.00,6' 8.75'',6' 10'',8' 9'',233.0,7' 0.25''
Deyonta Davis,PF,9.70%,9.00,9.25,6' 9.25'',6' 10.5'',9' 0.5'',237.2,7' 2.5''
Dorian Finney-Smith,SF,6.45%,9.00,9.75,6' 6.5'',6' 7.75'',8' 9.5'',212.6,6' 11.75''
Daniel Hamilton,SG-SF,5.95%,9.00,8.50,6' 6.25'',6' 8'',8' 7.5'',197.0,6' 9''
Brice Johnson,PF,7.50%,9.00,8.25,6' 9'',6' 10.5'',8' 10.5'',208.6,7' 0.5''
Marcus Lee,PF-C,5.35%,9.00,9.00,6' 9'',6' 10.25'',8' 11.5'',211.0,7' 3''
Chinanu Onuaku,C,8.55%,9.00,8.00,6' 9'',6' 10'',9' 0.5'',245.2,7' 2.75''
Taurean Prince,SF,6.45%,9.00,8.50,6' 6.5'',6' 7.75'',8' 6'',220.2,6' 11.5''
Wayne Selden,SG,7.30%,9.00,9.25,6' 4.25'',6' 5.75'',8' 5'',232.4,6' 10.5''
Caleb Swanigan,PF,12.55%,9.00,10.25,6' 7.5'',6' 8.5'',8' 11'',246.6,7' 3.5''
Stephen Zimmerman,C,11.15%,9.00,9.00,6' 10.25'',6' 11.75'',9' 0.5'',234.0,7' 3.25''
Ron Baker,SG,7.85%,8.75,9.50,6' 3.25'',6' 4.25'',8' 1.5'',212.4,6' 9.75''
Jaylen Brown,SG-SF,5.05%,8.75,9.00,6' 5.25'',6' 6.75'',8' 6.5'',222.8,6' 11.75''
Justin Jackson,SF,7.60%,8.75,8.75,6' 7'',6' 8.25'',8' 7.5'',193.4,6' 10.75''
Damian Jones,C,6.55%,8.75,10.50,6' 10.25'',6' 11.5'',8' 11'',243.6,7' 3.75''
