PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Jarnell Stokes,PF,8.20%,9.75,10.50,6' 7'',6' 8.5'',8' 7.5'',262.8,7' 1.25''
Noah Vonleh,PF,7.30%,9.75,11.75,6' 8'',6' 9.5'',9' 0'',247.1,7' 4.25''
Jordan Bachynski,PF,7.45%,9.25,10.00,7' 1.25'',7' 2'',9' 0.5'',254.1,7' 4''
Alec Brown,PF,7.70%,9.25,8.75,7' 0.25'',7' 1.25'',9' 1'',231.2,7' 1.5''
DeAndre Daniels,SF,3.85%,9.25,10.50,6' 7.25'',6' 8.5'',8' 10.5'',196.0,7' 2''
Jerami Grant,SF,3.75%,9.25,9.25,6' 6.5'',6' 7.75'',8' 11'',214.0,7' 2.75''
Alex Kirk,PF,13.60%,9.25,10.50,6' 9.25'',6' 10.75'',9' 1.5'',252.0,7' 3.5''
James McAdoo,PF,6.15%,9.25,9.00,6' 7.5'',6' 8.75'',8' 10.5'',227.6,7' 2.25''
Johnny O?Bryant III,PF,10.75%,9.25,9.50,6' 7.25'',6' 8.5'',8' 9'',256.8,7' 2.25''
Adreian Payne,PF,7.55%,9.25,9.50,6' 9'',6' 9.75'',9' 1'',238.5,7' 4''
Patric Young,PF,5.45%,9.25,9.50,6' 8.5'',6' 10'',8' 7.5'',246.8,7' 1.75''
Thanasis Antetokounmpo,SF,6.05%,9.00,9.75,6' 5.25'',6' 6.25'',8' 8.5'',205.2,7' 0''
Khem Birch,PF,6.00%,9.00,8.50,6' 7.5'',6' 9.25'',8' 11'',208.8,7' 1''
Jabari Brown,SG,6.05%,9.00,9.25,6' 3'',6' 4.25'',8' 4'',201.9,6' 8.25''
C.J. Fair,SF,5.05%,9.00,9.00,6' 6.5'',6' 8'',8' 8'',218.1,6' 9.5''
Sean Kilpatrick,SG,9.20%,9.00,9.00,6' 2.5'',6' 4.25'',8' 3'',218.7,6' 7''
Lamar Patterson,SG,10.75%,9.00,9.25,6' 4'',6' 5.25'',8' 5'',226.0,6' 11''
Dwight Powell,PF,6.20%,9.00,9.25,6' 9.5'',6' 11'',8' 9'',234.4,7' 0.5''
Glenn Robinson III,SF,5.05%,9.00,9.50,6' 5.5'',6' 6.75'',8' 4.5'',211.4,6' 10''
Marcus Smart,PG,10.55%,9.00,8.75,6' 2'',6' 3.25'',8' 3'',227.2,6' 9.25''
James Young,SG,5.10%,9.00,9.50,6' 5.25'',6' 6.75'',8' 8'',213.3,7' 0''
Cameron Bairstow,PF,8.70%,8.75,9.00,6' 8.75'',6' 9.75'',8' 11'',252.4,7' 0.75''
Melvin Ejim,SF,6.45%,8.75,9.25,6' 5.25'',6' 7'',8' 7.5'',218.5,6' 11.25''
Aaron Gordon,PF,5.05%,8.75,10.50,6' 7.5'',6' 8.75'',8' 9'',220.1,6' 11.75''
P.J. Hairston,SG,8.20%,8.75,9.75,6' 4.25'',6' 5.25'',8' 5'',228.8,6' 9''
Cory Jefferson,PF,5.25%,8.75,9.75,6' 7.75'',6' 9'',8' 9'',218.4,7' 0.5''
Nick Johnson,SG,6.05%,8.75,9.75,6' 1.5'',6' 3'',8' 0.5'',198.0,6' 7.25''
K.J. McDaniels,SF,4.45%,8.75,9.75,6' 4.5'',6' 6'',8' 6'',195.6,6' 11.25''
Doug McDermott,SF,7.10%,8.75,9.75,6' 6.25'',6' 7.75'',8' 7'',218.0,6' 9.25''
Jordan McRae,SG,5.20%,8.75,8.50,6' 3.75'',6' 5.25'',8' 8'',179.4,7' 0.5''
Elfrid Payton,PG,5.65%,8.75,9.00,6' 2.5'',6' 3.75'',8' 2.5'',185.4,6' 8''
Julius Randle,PF,9.40%,8.75,8.25,6' 7.75'',6' 9'',8' 9.5'',249.7,7' 0''
LaQuinton Ross,SF,16.30%,8.75,9.75,6' 6.5'',6' 7.5'',8' 10'',238.7,7' 1.75''
T.J. Warren,SF,7.95%,8.75,9.00,6' 7'',6' 8.25'',8' 8'',220.2,6' 10.25''
C.J. Wilcox,SG,6.50%,8.75,9.00,6' 3.5'',6' 5'',8' 4.5'',201.0,6' 9.75''
Jordan Adams,SG,10.80%,8.50,7.50,6' 3.5'',6' 4.75'',8' 6'',208.8,6' 10''
Semaj Christon,PG,5.25%,8.50,8.25,6' 1.5'',6' 3.25'',8' 3'',186.0,6' 6.5''
Cleanthony Early,SF,4.45%,8.50,9.00,6' 6'',6' 7.25'',8' 5.5'',209.4,6' 10.75''
Dante Exum,SG,6.40%,8.50,9.50,6' 4.5'',6' 6'',8' 7'',196.3,6' 9.5''
Gary Harris,SG,4.55%,8.50,9.50,6' 2.5'',6' 4.5'',8' 0'',204.8,6' 6.75''
Joe Harris,SG,6.20%,8.50,9.75,6' 4.75'',6' 6.25'',8' 4'',215.0,6' 6''
Rodney Hood,SF,7.45%,8.50,8.50,6' 7.25'',6' 8.5'',8' 7'',208.2,6' 8.5''
Nik Stauskas,SG,12.05%,8.50,8.50,6' 5.25'',6' 6.5'',8' 6'',206.9,6' 7.75''
Kyle Anderson,SF,13.35%,8.25,8.75,6' 7.5'',6' 8.5'',8' 11.5'',230.1,7' 2.75''
Markel Brown,SG,4.20%,8.25,9.75,6' 2.5'',6' 3.5'',8' 4'',184.4,6' 8.75''
Deonte Burton,PG,7.65%,8.25,8.00,6' 0'',6' 1.25'',8' 1.5'',192.8,6' 7''
Jordan Clarkson,PG,4.30%,8.25,9.00,6' 3.25'',6' 5'',8' 2'',186.3,6' 8''
Spencer Dinwiddie,PG,5.35%,8.25,9.00,6' 4.5'',6' 6'',8' 7'',204.9,6' 8.25''
Tyler Ennis,PG,6.20%,8.25,8.75,6' 1'',6' 2.5'',8' 2'',181.5,6' 7.25''
Zach LaVine,PG,4.70%,8.25,8.75,6' 4.5'',6' 5.75'',8' 4'',180.9,6' 8.25''
Devyn Marble,SG,6.90%,8.25,8.50,6' 5'',6' 6.5'',8' 6'',192.4,6' 9''
Shabazz Napier,PG,7.35%,8.25,8.50,5' 11'',6' 1'',7' 9'',175.2,6' 3.25''
Russ Smith,PG,3.50%,8.25,8.50,5' 11.5'',6' 0.75'',7' 11'',160.0,6' 3.5''
Xavier Thames,PG,6.40%,8.25,9.00,6' 2.25'',6' 3.5'',8' 0'',187.0,6' 4''
Kendall Williams,PG,7.20%,8.00,7.75,6' 2.25'',6' 3.75'',8' 3'',183.0,6' 5.5''
Aaron Craft,PG,6.10%,7.75,8.50,6' 0.75'',6' 1.75'',7' 10.5'',191.6,6' 2''
