PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Andrew Nicholson,PF,7.60%,10.00,10.75,6' 8.5'',6' 9.5'',8' 11'',234.0,7' 4''
Thomas Robinson,PF,5.00%,9.75,10.50,6' 7.75'',6' 8.75'',8' 10'',244.2,7' 3.25''
Quincy Acy,PF,7.10%,9.50,11.00,6' 6.5'',6' 7.75'',8' 10.5'',223.8,7' 2.75''
Jae Crowder,SF,9.00%,9.50,10.50,6' 4.75'',6' 6.5'',8' 3.5'',241.2,6' 9.25''
Andre Drummond,C,7.50%,9.50,9.50,6' 9.75'',6' 11.75'',9' 1.5'',278.6,7' 6.25''
Kyle O'Quinn,PF,8.00%,9.50,10.00,6' 8.5'',6' 10'',8' 10.5'',240.8,7' 4.75''
Royce White,PF,10.60%,9.50,11.50,6' 7'',6' 8'',8' 8.5'',260.6,7' 0''
JaMychal Green,PF,9.80%,9.25,9.25,6' 8'',6' 9'',8' 10.5'',217.4,7' 2.25''
Maurice Harkless,SF,5.30%,9.25,10.25,6' 7.25'',6' 8.75'',8' 6.5'',206.6,7' 0''
John Henson,PF,8.60%,9.25,10.00,6' 9'',6' 10.5'',9' 4'',216.0,7' 5''
Perry Jones,PF-SF,4.60%,9.25,9.50,6' 10.25'',6' 11.25'',8' 11'',233.8,7' 1.75''
Meyers Leonard,C,5.70%,9.25,11.00,6' 11.75'',7' 1.25'',9' 0'',249.8,7' 3''
Quincy Miller,SF,7.80%,9.25,10.25,6' 8.75'',6' 10'',8' 9'',218.7,7' 1.25''
Arnett Moultrie,PF,7.70%,9.25,9.25,6' 9.5'',6' 10.75'',8' 10.5'',232.8,7' 2.25''
Miles Plumlee,PF-C,11.40%,9.25,9.00,6' 10.5'',6' 11.75'',8' 9.5'',252.4,7' 0.75''
Henry Sims,C-PF,7.70%,9.25,10.00,6' 10'',6' 11.75'',9' 0'',241.2,7' 4''
Jared Sullinger,PF,10.70%,9.25,9.75,6' 7.75'',6' 9'',8' 9.5'',268.2,7' 1.25''
Harrison Barnes,SF-SG,9.60%,9.00,8.50,6' 7'',6' 8'',8' 5.5'',227.8,6' 11.25''
Will Barton,SG-SF,4.10%,9.00,9.50,6' 5'',6' 6'',8' 6.5'',174.4,6' 9.75''
Anthony Davis,PF-C,7.90%,9.00,8.50,6' 9.25'',6' 10.5'',9' 0'',221.8,7' 5.5''
Festus Ezeli,C-PF,5.50%,9.00,10.75,6' 9.75'',6' 11.5'',9' 0'',264.2,7' 5.75''
Draymond Green,PF-SF,11.30%,9.00,9.50,6' 5.75'',6' 7.5'',8' 9'',235.6,7' 1.25''
Bernard James,PF,5.00%,9.00,9.25,6' 8.75'',6' 10'',9' 0.5'',229.8,7' 3''
John Jenkins,SG,7.10%,9.00,9.00,6' 3.25'',6' 4.25'',8' 2'',212.0,6' 8.5''
Orlando Johnson,SG,7.00%,9.00,9.50,6' 3.75'',6' 5.25'',8' 3'',223.8,6' 11.25''
Terrence Jones,PF-SF,7.70%,9.00,10.00,6' 8.25'',6' 9.5'',8' 11'',252.0,7' 2.25''
Kevin Jones,PF,11.20%,9.00,7.75,6' 6.25'',6' 7.5'',8' 9'',251.2,7' 1.5''
Kris Joseph,SG,8.60%,9.00,9.00,6' 6'',6' 7'',8' 8'',215.0,6' 11''
Michael Kidd-Gilchrist,SF,7.00%,9.00,10.25,6' 5.75'',6' 7.5'',8' 8.5'',232.8,7' 0''
Fab Melo,C,9.20%,9.00,10.00,6' 10.75'',7' 0'',9' 2'',255.0,7' 2.5''
Khris Middleton,SF,7.80%,9.00,9.00,6' 6.75'',6' 8.25'',8' 7'',216.2,6' 10.75''
Tyler Zeller,PF-C,6.40%,9.00,9.75,6' 11.25'',7' 0.5'',8' 8.5'',247.4,7' 0''
William Buford,SG-SF,11.30%,8.75,10.00,6' 4'',6' 5'',8' 6'',214.6,6' 9.5''
Tu Holloway,PG,8.50%,8.75,10.00,5' 10.5'',5' 11.75'',7' 10.5'',186.8,6' 5.5''
Darius Johnson-Odom,SG,7.00%,8.75,8.75,6' 1.5'',6' 3'',8' 0'',212.0,6' 7''
Jeremy Lamb,SG,4.50%,8.75,9.25,6' 4'',6' 5.25'',8' 6'',179.2,6' 11''
Damian Lillard,PG,5.90%,8.75,9.75,6' 1.75'',6' 2.75'',7' 11.5'',188.8,6' 7.75''
Terrence Ross,SG-SF,3.20%,8.75,10.25,6' 6'',6' 7'',8' 4.5'',196.6,6' 7.25''
Tyshawn Taylor,PG,4.20%,8.75,8.75,6' 2.75'',6' 4'',8' 1.5'',177.0,6' 6.25''
