PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Isaac Haas,C,12.55%,10.00,10.50,7' 1.25'',7' 2.75'',9' 3.5'',303.0,7' 5''
Jaren Jackson,PF-C,7.20%,10.00,10.00,6' 9.75'',6' 11.25'',9' 2'',236.0,7' 5.25''
Mohamed Bamba,C,6.20%,9.75,10.25,6' 11.25'',7' 0.75'',9' 7.5'',225.6,7' 10''
Brandon McCoy,C,8.70%,9.75,9.50,6' 11.5'',7' 0.5'',9' 2.5'',250.4,7' 2''
Austin Wiley,C,5.00%,9.75,10.25,6' 8.25'',6' 10'',9' 3'',249.4,7' 5''
Udoka Azubuike,C,7.95%,9.50,10.00,6' 10'',7' 0.25'',9' 4.5'',273.8,7' 7''
Bruno Fernando,C,5.25%,9.50,10.00,6' 8.75'',6' 9.75'',9' 1'',233.2,7' 4.25''
Melvin Frazier,SF-SG,7.90%,9.50,9.50,6' 4.5'',6' 6'',8' 9'',198.2,7' 1.75''
Kostas Antetokounmpo,PF,5.00%,9.25,9.50,6' 9'',6' 10.5'',9' 2'',194.8,7' 2.25''
Jevon Carter,PG,4.15%,9.25,8.50,6' 0.25'',6' 1.5'',7' 11'',196.2,6' 4.25''
Kevin Hervey,PF,5.15%,9.25,10.25,6' 6.5'',6' 7.75'',8' 11'',211.6,7' 3.5''
Sagaba Konate,C,7.35%,9.25,10.00,6' 6.5'',6' 7.5'',8' 10.5'',246.0,7' 0''
Yante Maten,PF-C,8.10%,9.25,10.00,6' 7.25'',6' 8.5'',8' 11.5'',246.2,7' 0.5''
Billy Preston,PF,5.45%,9.25,9.50,6' 8.75'',6' 10.5'',9' 0'',222.4,7' 2''
Ray Spalding,PF,5.55%,9.25,9.00,6' 9'',6' 10.25'',9' 1'',215.4,7' 4.75''
Keita Bates-Diop,SG-SF,5.35%,9.00,8.50,6' 7.25'',6' 8.5'',8' 10.5'',223.8,7' 3.25''
Brian Bowen,SG-SF,7.60%,9.00,10.00,6' 6.25'',6' 7.5'',8' 7.5'',202.0,6' 10.25''
Miles Bridges,SF,5.90%,9.00,9.75,6' 5.25'',6' 6.75'',8' 7.5'',220.4,6' 9.5''
Troy Brown,SF,7.05%,9.00,9.75,6' 5.75'',6' 6.75'',8' 9'',208.0,6' 10.25''
Jacob Evans,SG-SF,6.50%,9.00,9.25,6' 4.25'',6' 5.5'',8' 6.5'',199.6,6' 9.25''
Shai Gilgeous-Alexander,PG,3.00%,9.00,9.00,6' 4.5'',6' 6'',8' 8'',180.0,6' 11.5''
Justin Jackson,PF,8.90%,9.00,9.50,6' 6'',6' 6.75'',8' 9'',229.4,7' 3''
George King,SF-SG,7.25%,9.00,10.25,6' 4.75'',6' 6'',8' 5.5'',218.6,6' 11.5''
Chimezie Metu,PF-C,5.05%,9.00,9.25,6' 8.5'',6' 9.5'',9' 0'',219.6,7' 0.5''
Josh Okogie,SG,5.20%,9.00,9.75,6' 3'',6' 4.5'',8' 6'',210.8,7' 0''
Theo Pinson,SG-SF,7.35%,9.00,9.00,6' 5'',6' 6.75'',8' 7.5'',211.2,6' 10.75''
Jerome Robinson,SG,6.05%,9.00,10.00,6' 4'',6' 5'',8' 2'',188.4,6' 7.25''
Omari Spellman,PF-C,13.75%,9.00,9.00,6' 8'',6' 9.25'',8' 11.5'',253.8,7' 2''
Moritz Wagner,C-PF,6.75%,9.00,10.75,6' 10.5'',6' 11.5'',9' 0'',241.4,7' 0''
Lonnie Walker,SG,5.65%,9.00,9.50,6' 3.75'',6' 4.5'',8' 3.5'',196.2,6' 10.25''
PJ Washington,PF,6.85%,9.00,10.25,6' 6.5'',6' 8'',8' 11'',223.0,7' 2.5''
Hamidou Diallo,SG,4.45%,8.75,9.00,6' 4.25'',6' 6'',8' 7'',197.0,6' 11.5''
Trevon Duval,PG,5.20%,8.75,10.00,6' 1.5'',6' 2.5'',8' 1.5'',191.0,6' 8.25''
Aaron Holiday,PG,6.40%,8.75,8.50,5' 11.75'',6' 0.75'',8' 1'',187.0,6' 7.5''
Kevin Knox,SF,4.95%,8.75,9.25,6' 7.75'',6' 9'',9' 0'',212.6,6' 11.75''
Shake Milton,SG-PG,6.80%,8.75,9.50,6' 4.5'',6' 5.5'',8' 3.5'',207.2,7' 0.75''
Jontay Porter,C-PF,13.85%,8.75,9.50,6' 10'',6' 11.5'',9' 1'',236.0,7' 0.25''
Michael Porter,SF-PF,6.40%,8.75,9.25,6' 9.5'',6' 10.75'',9' 0.5'',211.0,7' 0.25''
Anfernee Simons,SG-PG,7.70%,8.75,9.00,6' 2.25'',6' 3.25'',8' 3.5'',183.2,6' 9.25''
Zhaire Smith,SF-SG,6.05%,8.75,8.25,6' 2.75'',6' 4'',8' 4'',198.6,6' 9.75''
Khyri Thomas,SG,6.40%,8.75,9.25,6' 2.5'',6' 3.75'',8' 5'',198.8,6' 10.5''
Kris Wilkes,SF,5.15%,8.75,9.25,6' 6.5'',6' 7.5'',8' 7.5'',205.0,6' 10.25''
Rawle Alkins,SG,8.90%,8.50,10.00,6' 2.75'',6' 4.25'',8' 3'',217.4,6' 8.75''
Tyus Battle,SG,4.00%,8.50,9.25,6' 5'',6' 6.75'',8' 6'',200.2,6' 9''
Bruce Brown,SG-PG,3.75%,8.50,8.50,6' 3.5'',6' 5'',8' 2.5'',194.6,6' 9''
Tony Carr,PG,6.50%,8.50,9.75,6' 3'',6' 4.5'',8' 4'',198.8,6' 8.25''
Wendell Carter,C-PF,7.85%,8.50,9.00,6' 8.75'',6' 10'',9' 1'',251.4,7' 4.5''
Carsen Edwards,PG,6.30%,8.50,9.25,5' 10.75'',6' 0'',7' 10.5'',195.6,6' 6.25''
Keenan Evans,PG,6.50%,8.50,8.00,6' 1.5'',6' 3'',8' 2'',183.2,6' 5.25''
Devonte Graham,PG,4.80%,8.50,9.50,6' 0.25'',6' 1.5'',8' 0'',186.4,6' 6.25''
Devon Hall,SG,8.45%,8.50,10.00,6' 4.25'',6' 6'',8' 6'',206.4,6' 7.75''
Alize Johnson,PF,8.10%,8.50,9.75,6' 7.25'',6' 8'',8' 7'',216.6,6' 8.75''
Caleb Martin,SF-SG,7.00%,8.50,8.75,6' 4.75'',6' 6'',8' 5.5'',195.8,6' 10''
Cody Martin,SG-SF,5.45%,8.50,9.00,6' 4.75'',6' 6'',8' 6.5'',188.6,6' 10.25''
DeAnthony Melton,SG-PG,5.20%,8.50,9.50,6' 2.25'',6' 3.25'',8' 3.5'',193.2,6' 8.5''
Malik Newman,SG,6.25%,8.50,9.50,6' 2.5'',6' 3.25'',8' 2.5'',189.2,6' 5.5''
Gary Trent,SG,7.00%,8.50,9.50,6' 4.25'',6' 5.75'',8' 2'',204.2,6' 8.75''
Kenrich Williams,SF,5.95%,8.50,9.75,6' 6'',6' 7.5'',8' 7.5'',200.4,6' 7.25''
Grayson Allen,SG,5.55%,8.25,10.00,6' 3'',6' 4.5'',8' 1'',198.0,6' 7.25''
Jalen Brunson,PG,6.70%,8.25,9.25,6' 1'',6' 2.25'',8' 0'',198.4,6' 4''
