PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Travis Leslie,SG,8.10%,8.75,9.25,6' 3'',6' 4.25'',8' 7'',205.0,6' 10.5''
Jon Leuer,PF,5.40%,8.75,9.75,6' 10'',6' 11.5'',8' 9.5'',223.2,7' 0''
DeAndre Liggins,SF-SG,5.00%,8.75,10.00,6' 5'',6' 6.25'',8' 7.5'',202.2,6' 11''
Darius Morris,PG-SG,5.30%,8.75,10.00,6' 3.25'',6' 5.25'',8' 6'',190.0,6' 7.5''
Jereme Richmond,SF,5.50%,8.75,9.50,6' 6'',6' 7.25'',8' 10.5'',207.2,6' 10.25''
Tristan Thompson,PF,6.20%,8.75,9.25,6' 7.5'',6' 8.75'',9' 0.5'',227.4,7' 1.25''
Klay Thompson,SG,8.00%,8.75,9.25,6' 5.75'',6' 7.25'',8' 7.5'',205.6,6' 9''
Marshon Brooks,SG,5.20%,9.00,10.50,6' 4.25'',6' 5.25'',8' 5'',194.6,7' 1''
Alec Burks,SG,5.10%,9.00,8.25,6' 5'',6' 6'',8' 7.5'',192.6,6' 10''
Jimmy Butler,SF,5.40%,9.00,9.00,6' 6'',6' 7.75'',8' 5.5'',222.2,6' 7.5''
Michael Dunigan,PF-C,8.00%,9.00,10.75,6' 8.5'',6' 10'',8' 11.5'',237.6,7' 3.25''
LaceDarius Dunn,SG,5.50%,9.00,10.25,6' 3'',6' 4'',8' 5'',187.8,6' 6.25''
Jordan Hamilton,SF,9.80%,9.00,9.25,6' 6.75'',6' 8.5'',8' 8'',228.4,6' 9.5''
Justin Harper,PF-SF,4.00%,9.00,9.25,6' 8'',6' 8.75'',8' 10'',228.0,6' 11.75''
JaJuan Johnson,PF,7.50%,9.00,10.00,6' 9'',6' 10'',8' 11.5'',219.8,7' 2''
David Lighty,SG,6.50%,9.00,10.00,6' 4.75'',6' 6.5'',8' 5'',216.2,6' 8''
E'Twaun Moore,SG,7.60%,9.00,10.00,6' 2.5'',6' 4'',8' 3.5'',191.4,6' 9.5''
Iman Shumpert,PG-SG,6.50%,9.00,9.00,6' 4.25'',6' 5.5'',8' 3.5'',221.8,6' 9.5''
Derrick Williams,PF-SF,10.80%,9.00,9.75,6' 7.25'',6' 8.75'',9' 0'',248.4,7' 1.5''
Chris Singleton,SF,7.40%,9.25,10.00,6' 7.75'',6' 9'',8' 7.5'',230.2,7' 1''
Trey Thompkins,PF,15.50%,9.25,9.75,6' 8.5'',6' 9.75'',8' 11.5'',239.0,7' 1''
Jeremy Tyler,PF-C,13.40%,9.25,9.00,6' 9'',6' 10.5'',9' 2.5'',262.4,7' 5''
Nikola Vucevic,PF-C,6.10%,9.25,10.25,6' 10.25'',6' 11.75'',9' 4.5'',259.8,7' 4.5''
Jordan Williams,PF,12.10%,9.25,10.00,6' 7.75'',6' 9'',8' 10.5'',247.2,7' 0.25''
Keith Benson,C-PF,6.10%,9.50,11.00,6' 10'',6' 11'',9' 1.5'',217.0,7' 3.75''
Enes Kanter,PF-C,5.90%,9.50,10.75,6' 9.75'',6' 11.25'',9' 1.5'',259.2,7' 1.5''
Malcolm Thomas,PF,5.90%,9.50,10.50,6' 7.5'',6' 8.75'',8' 11.5'',223.0,7' 0.5''
Kawhi Leonard,SF,5.40%,9.75,11.25,6' 6'',6' 7'',8' 10'',227.4,7' 3''
Gregory Smith,PF-C,7.40%,9.75,12.00,6' 8'',6' 9.25'',8' 10.5'',252.8,7' 2.5''
