PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Jawun Evans,PG,9.10%,8.00,7.75,5' 10.75'',5' 11.5'',7' 11'',185.2,6' 5.5''
Luke Kennard,SG-SF,6.60%,8.00,8.75,6' 4.5'',6' 5.5'',8' 2.5'',196.2,6' 5.25''
Frank Mason III,PG,4.30%,8.00,9.25,5' 11'',6' 0'',7' 10'',188.8,6' 3.25''
Svi Mykhailiuk,SG-SF,11.40%,8.00,9.25,6' 6.5'',6' 7.5'',8' 4'',219.6,6' 5''
Melo Trimble,PG,10.60%,8.00,8.75,6' 1.25'',6' 2.5'',7' 11.5'',195.2,6' 2''
Derrick Walton Jr.,PG,5.80%,8.00,8.50,5' 11'',6' 0.75'',7' 11'',188.6,6' 2.5''
Dillon Brooks,SG-SF,7.50%,8.25,9.25,6' 5'',6' 6'',8' 4.5'',220.2,6' 6''
Frank Jackson,PG,6.70%,8.25,9.00,6' 2'',6' 3.5'',8' 2'',201.6,6' 7.5''
Peter Jok,SG-SF,11.00%,8.25,9.50,6' 4.25'',6' 5.75'',8' 6'',202.4,6' 8''
Monte Morris,PG,6.90%,8.25,8.75,6' 1.25'',6' 2.5'',8' 0.5'',175.2,6' 4''
Edmond Sumner,PG,8.30%,8.25,9.00,6' 4'',6' 5.75'',8' 6.5'',176.4,6' 9''
Derrick White,PG,6.20%,8.25,8.50,6' 3.25'',6' 4.5'',8' 5.5'',189.8,6' 7.5''
Kadeem Allen,PG,6.40%,8.50,8.75,6' 1'',6' 2.25'',8' 3.5'',192.4,6' 9.25''
V.J. Beachem,SG-SF,6.80%,8.50,9.00,6' 6.25'',6' 8'',8' 8.5'',193.4,6' 10.25''
Hamidou Diallo,SG-SF,5.20%,8.50,9.50,6' 3.75'',6' 5'',8' 5.5'',197.4,6' 11.25''
Tyler Dorsey,SG,4.70%,8.50,9.25,6' 3'',6' 4.5'',8' 3.5'',182.6,6' 5.25''
Damyean Dotson,SG-SF,5.30%,8.50,9.25,6' 4.5'',6' 5.5'',8' 4'',205.2,6' 9''
PJ Dozier,SG,6.10%,8.50,9.50,6' 5.25'',6' 6.75'',8' 5'',200.6,6' 11''
Terrance Ferguson,SG-SF,5.80%,8.50,10.00,6' 5.5'',6' 7'',8' 7'',184.4,6' 8.75''
De?Aaron Fox,PG,4.50%,8.50,8.50,6' 2'',6' 3.25'',8' 4'',169.6,6' 6.5''
Josh Hart,SG-SF,5.80%,8.50,9.50,6' 3.75'',6' 5'',8' 5'',209.2,6' 8.25''
Kyle Kuzma,SF-SG,9.40%,8.50,9.50,6' 8'',6' 9.5'',8' 11.5'',222.6,7' 0.25''
TJ Leaf,PF,6.80%,8.50,9.50,6' 8.75'',6' 9.75'',8' 11'',222.2,6' 11''
Donovan Mitchell,SG,5.90%,8.50,9.50,6' 1.25'',6' 3'',8' 1'',211.4,6' 10''
Kobi Simmons,PG,5.00%,8.50,9.50,6' 3.25'',6' 4.5'',8' 3'',166.2,6' 6''
Rawle Alkins,SG-SF,11.00%,8.75,10.00,6' 2.5'',6' 3.75'',8' 3'',222.6,6' 8.75''
Dwayne Bacon,SG-SF,7.90%,8.75,10.00,6' 4.75'',6' 6.25'',8' 7.5'',221.6,6' 10''
Jaron Blossomgame,SF,5.70%,8.75,10.25,6' 5.75'',6' 6.75'',8' 8.5'',218.6,6' 10''
Zach Collins,PF-C,8.90%,8.75,9.25,6' 10.25'',7' 0'',9' 3'',232.2,7' 1''
Nigel Hayes,PF,11.50%,8.75,10.00,6' 6.25'',6' 7.5'',8' 8.5'',254.2,7' 3.25''
Isaiah Hicks,PF,7.70%,8.75,9.75,6' 7.25'',6' 8.5'',8' 9'',233.4,7' 0.5''
Wesley Iwundu,SG-SF,4.00%,8.75,9.50,6' 5.5'',6' 6.75'',8' 9.5'',193.4,7' 1''
Justin Jackson (UNC),SF,8.10%,8.75,9.25,6' 7'',6' 8.25'',8' 8.5'',200.8,6' 11''
Tyler Lydon,PF,13.60%,8.75,8.75,6' 8.25'',6' 9.5'',8' 11.5'',215.0,7' 0''
Kennedy Meeks,C,11.50%,8.75,8.75,6' 8.75'',6' 10.25'',8' 10'',276.6,7' 1''
Semi Ojeleye,SF-SG,5.50%,8.75,9.50,6' 5.25'',6' 6.75'',8' 6'',241.4,6' 9.75''
Justin Patton,C,7.80%,8.75,9.75,6' 10'',6' 11.25'',9' 3.5'',229.0,7' 3''
Alec Peters,PF,8.80%,8.75,10.00,6' 7.25'',6' 8.75'',8' 9'',232.0,6' 10.75''
Ivan Rabb,PF,6.80%,8.75,9.00,6' 8.75'',6' 10'',9' 1'',219.6,7' 1.5''
Sindarius Thornwell,SG-SF,7.80%,8.75,8.75,6' 3.5'',6' 4.75'',8' 7'',211.6,6' 10''
Moritz Wagner,PF,6.70%,8.75,10.75,6' 10'',6' 11.25'',9' 0'',231.2,7' 0''
Nigel Williams-Goss,PG,5.60%,8.75,9.25,6' 1.5'',6' 3'',8' 3'',190.2,6' 7.25''
Isaiah Briscoe,PG,11.00%,9.00,9.25,6' 1.25'',6' 2.75'',8' 3.5'',222.4,6' 9''
John Collins,PF,5.40%,9.00,10.00,6' 8.25'',6' 9.5'',8' 10.5'',225.2,6' 11.25''
Justin Jackson (UMD),SF,7.10%,9.00,9.50,6' 5.75'',6' 7'',8' 11'',219.4,7' 3.25''
Johnathan Motley,PF,-%,9.00,9.50,6' 7.75'',6' 8.75'',9' 0'',238.2,7' 4''
Thomas Welsh,PF-C,10.90%,9.00,10.50,6' 11.5'',7' 0.5'',9' 1.5'',254.0,7' 0''
Omer Yurtseven,C,7.60%,9.00,10.50,6' 10.5'',6' 11.75'',9' 0.5'',248.4,7' 1''
OG Anunoby,SF,6.80%,9.25,9.50,6' 6.25'',6' 7.75'',8' 11.5'',232.4,7' 2.25''
Jamel Artis,SG-SF,11.90%,9.25,9.75,6' 5.5'',6' 6.75'',8' 9'',213.2,6' 10''
Jordan Bell,PF,5.40%,9.25,9.50,6' 7'',6' 8.5'',8' 8.5'',223.6,6' 11.75''
Chris Boucher,PF,5.40%,9.25,10.50,6' 8'',6' 9.5'',9' 2.5'',182.2,7' 4''
